key,url,archive_url,author,publisher,published_at,retrieved_at_utc,type,role,confidence,quoted,notes
S-014,https://jobs.ashbyhq.com/litellm/8f1fe19b-7f83-4266-a04f-782dedb2c170,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,Ashby,2026,2026-07-20T13:38:00Z,job-listing,external-context,medium,no,Product engineering for a second product; roadmap signal.
S-015,https://jobs.ashbyhq.com/litellm/f7e671ef-8c36-4e1a-bfce-e7ed79b85c58,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,Ashby,2026,2026-07-20T13:38:00Z,job-listing,external-context,medium,no,SRE role and production critical-path framing.
S-016,https://github.com/BerriAI/litellm/issues/24518,[archive-failed: automated archive submission unavailable in this environment],LiteLLM team and community,GitHub,2026-03-24,2026-07-20T13:38:00Z,github-issue,canonical,high,no,Official tracking issue for compromised PyPI releases 1.82.7 and 1.82.8.
S-017,https://snyk.io/fr/blog/poisoned-security-scanner-backdooring-litellm/,[archive-failed: automated archive submission unavailable in this environment],Stephen Thoemmes,Snyk,2026-03-24,2026-07-20T13:38:00Z,security-analysis,supporting,high,no,Independent technical timeline; localized URL may redirect.
S-018,https://www.theregister.com/security/2026/03/24/litellm-infected-with-credential-stealing-code-via-trivy/5223422,[archive-failed: automated archive submission unavailable in this environment],The Register,The Register,2026-03-24,2026-07-20T13:38:00Z,press,external-context,medium,no,Independent incident coverage.
S-019,https://github.com/BerriAI/litellm/issues/14413,[archive-failed: automated archive submission unavailable in this environment],LiteLLM user,GitHub,2025,2026-07-20T13:38:00Z,github-issue,practitioner,high,no,Authorization header not sent to configured MCP server.
S-020,https://github.com/BerriAI/litellm/issues/13642,[archive-failed: automated archive submission unavailable in this environment],LiteLLM user,GitHub,2025,2026-07-20T13:38:00Z,github-issue,practitioner,high,no,Server-specific MCP auth header parsing problem.
S-021,https://github.com/BerriAI/litellm/issues/13597,[archive-failed: automated archive submission unavailable in this environment],LiteLLM user,GitHub,2025,2026-07-20T13:38:00Z,github-issue,practitioner,high,no,MCP tools and Responses API compatibility problem.
S-022,https://github.com/BerriAI/litellm/issues/11552,[archive-failed: automated archive submission unavailable in this environment],LiteLLM user,GitHub,2025,2026-07-20T13:38:00Z,github-issue,practitioner,high,no,Enterprise-only field caused key-generation confusion.
S-023,https://github.com/BerriAI/litellm/issues/16520,[archive-failed: automated archive submission unavailable in this environment],Community member,GitHub,2025,2026-07-20T13:38:00Z,github-issue,practitioner,high,no,Nonprofit user reported enterprise pricing as a blocker.
S-024,https://github.com/BerriAI/litellm/issues/27276,[archive-failed: automated archive submission unavailable in this environment],LiteLLM user,GitHub,2026-05,2026-07-20T13:38:00Z,github-issue,practitioner,high,no,OpenAI Responses bridge drops or mishandles tool types.
S-025,https://composio.dev/pricing,[archive-failed: automated archive submission unavailable in this environment],Composio,Composio,retrieved 2026-07-20; change announced for 2026-08-15,2026-07-20T13:38:00Z,vendor-pricing,canonical,high,no,Tool-call pricing tiers and enterprise packaging.
S-026,https://composio.dev/mcp-gateway,[archive-failed: automated archive submission unavailable in this environment],Composio,Composio,2026,2026-07-20T13:38:00Z,vendor-page,canonical,high,no,"Enterprise gateway, team endpoints, governance, audit and identity."
S-027,https://docs.composio.dev/docs/authentication,[archive-failed: automated archive submission unavailable in this environment],Composio,Composio Docs,updated 2026,2026-07-20T13:38:00Z,vendor-doc,canonical,high,no,Per-user account connections and managed credential lifecycle.
S-028,https://docs.composio.dev/docs/sessions-via-mcp,[archive-failed: automated archive submission unavailable in this environment],Composio,Composio Docs,updated 2026,2026-07-20T13:38:00Z,vendor-doc,canonical,high,no,Hosted per-session MCP endpoint.
S-029,https://github.com/ComposioHQ/composio,[archive-failed: automated archive submission unavailable in this environment],Composio contributors,GitHub,ongoing,2026-07-20T13:38:00Z,github,canonical,high,no,Open SDK monorepo and provider adapters.
S-030,https://github.com/ComposioHQ/composio/blob/next/LICENSE,[archive-failed: automated archive submission unavailable in this environment],Sampark Inc.,GitHub,2025–2026,2026-07-20T13:38:00Z,license,canonical,high,no,MIT license for repository code.
S-031,https://github.com/ComposioHQ/composio/blob/next/README.md,[archive-failed: automated archive submission unavailable in this environment],Composio,GitHub,2026,2026-07-20T13:38:00Z,github,canonical,high,no,SDK requires hosted API key; sessions expose hosted MCP URLs.
S-032,https://github.com/ComposioHQ/composio/blob/next/ts/packages/core/src/utils/constants.ts,[archive-failed: automated archive submission unavailable in this environment],Composio,GitHub,2026,2026-07-20T13:38:00Z,github,derived,high,no,"SDK defaults to backend.composio.dev, showing hosted service boundary."
S-033,https://status.composio.dev/cmpfsnsg90241niri0xup1jnu,[archive-failed: automated archive submission unavailable in this environment],Composio,Composio Status,2026-05-21,2026-07-20T13:38:00Z,status-page,canonical,high,no,GitHub connection degradation incident.
S-034,https://modelcontextprotocol.io/specification/2025-11-25,[archive-failed: automated archive submission unavailable in this environment],MCP contributors,Model Context Protocol,2025-11-25,2026-07-20T13:38:00Z,standard,canonical,high,no,Current stable protocol revision as of research date.
S-035,https://modelcontextprotocol.io/specification/2025-11-25/basic/transports,[archive-failed: automated archive submission unavailable in this environment],MCP contributors,Model Context Protocol,2025-11-25,2026-07-20T13:38:00Z,standard,canonical,high,no,stdio and Streamable HTTP transport requirements.
S-036,https://modelcontextprotocol.io/specification/draft/basic/authorization,[archive-failed: automated archive submission unavailable in this environment],MCP contributors,Model Context Protocol,draft; retrieved 2026-07-20,2026-07-20T13:38:00Z,standard-draft,canonical,high,no,OAuth 2.1 resource-server authorization direction.
S-037,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices,[archive-failed: automated archive submission unavailable in this environment],MCP contributors,Model Context Protocol,updated 2026,2026-07-20T13:38:00Z,security-guidance,canonical,high,no,"Proxy confused-deputy, token and SSRF security guidance."
S-038,https://blog.modelcontextprotocol.io/posts/2025-09-08-mcp-registry-preview/,[archive-failed: automated archive submission unavailable in this environment],MCP Registry team,Model Context Protocol Blog,2025-09-08,2026-07-20T13:38:00Z,vendor-blog,canonical,high,no,Official registry preview and subregistry model.
S-039,https://modelcontextprotocol.io/registry/moderation-policy,[archive-failed: automated archive submission unavailable in this environment],MCP Registry team,Model Context Protocol,retrieved 2026-07-20,2026-07-20T13:38:00Z,policy,canonical,high,no,Registry offers minimal moderation and does not remove merely vulnerable or buggy servers.
S-040,https://github.com/IBM/mcp-context-forge,[archive-failed: automated archive submission unavailable in this environment],IBM and contributors,GitHub,ongoing,2026-07-20T13:38:00Z,github,canonical,high,no,Apache-2.0 open gateway/registry/proxy competitor.
S-041,https://ibm.github.io/mcp-context-forge/latest/overview/features/,[archive-failed: automated archive submission unavailable in this environment],IBM and contributors,ContextForge Docs,updated 2026,2026-07-20T13:38:00Z,project-doc,canonical,high,no,"Federation, protocol adapters, auth, governance and observability."
S-042,https://github.com/obot-platform/obot,[archive-failed: automated archive submission unavailable in this environment],Obot contributors,GitHub,ongoing,2026-07-20T13:38:00Z,github,canonical,high,no,Open-source MCP platform and closest product analogue.
S-043,https://obot.ai/,[archive-failed: automated archive submission unavailable in this environment],Obot,Obot,retrieved 2026-07-20,2026-07-20T13:38:00Z,vendor-page,canonical,high,no,Gateway and enterprise identity positioning.
S-044,https://obot.ai/obot-cloud-trial/,[archive-failed: automated archive submission unavailable in this environment],Obot,Obot,retrieved 2026-07-20,2026-07-20T13:38:00Z,vendor-page,canonical,high,no,Managed cloud trial and self-hosted alternative.
S-045,https://github.com/mcpjungle/MCPJungle,[archive-failed: automated archive submission unavailable in this environment],MCPJungle contributors,GitHub,ongoing,2026-07-20T13:38:00Z,github,canonical,high,no,Open source one-endpoint gateway and management layer.
S-046,https://github.com/metatool-ai/metamcp,[archive-failed: automated archive submission unavailable in this environment],MetaMCP contributors,GitHub,ongoing,2026-07-20T13:38:00Z,github,canonical,high,no,"Open source aggregator, orchestrator and middleware."
S-047,https://docs.docker.com/ai/mcp-catalog-and-toolkit/mcp-gateway/,[archive-failed: automated archive submission unavailable in this environment],Docker,Docker Docs,updated 2026,2026-07-20T13:38:00Z,vendor-doc,canonical,high,no,"Local gateway, profiles, credentials and server lifecycle."
S-048,https://nango.dev/pricing/,[archive-failed: automated archive submission unavailable in this environment],Nango,Nango,retrieved 2026-07-20,2026-07-20T13:38:00Z,vendor-pricing,supporting,high,no,Managed auth/integration pricing analogue by active connection and requests.
S-049,https://pipedream.com/docs/pricing,[archive-failed: automated archive submission unavailable in this environment],Pipedream,Pipedream,retrieved 2026-07-20,2026-07-20T13:38:00Z,vendor-pricing,supporting,high,no,Integration-platform pricing analogue by credits and external users.
S-050,https://pypi.org/project/litemcp/,[archive-failed: automated archive submission unavailable in this environment],Independent package maintainer,PyPI,2025-03-21,2026-07-20T13:38:00Z,package-registry,canonical,high,no,Existing package name collision.
S-051,https://github.com/wong2/litemcp,[archive-failed: automated archive submission unavailable in this environment],wong2,GitHub,2024–2025,2026-07-20T13:38:00Z,github,canonical,medium,no,Existing LiteMCP framework/project name; reportedly deprecated.
S-052,https://arxiv.org/abs/2607.10123,[archive-failed: automated archive submission unavailable in this environment],Research authors,arXiv,2026-07-11,2026-07-20T13:38:00Z,research-paper,external-context,medium,no,Large-scale discovery/validation study of MCP-related GitHub projects.
S-053,https://arxiv.org/abs/2605.22333,[archive-failed: automated archive submission unavailable in this environment],Research authors,arXiv,2026-05,2026-07-20T13:38:00Z,research-paper,external-context,medium,no,Preprint on authentication weaknesses among live remote MCP servers.
S-054,https://status.composio.dev/,[archive-failed: automated archive submission unavailable in this environment],Composio,Composio Status,ongoing,2026-07-20T13:38:00Z,status-page,canonical,high,no,Hosted-service operational history.
S-055,https://mcp-census.com/,[archive-failed: automated archive submission unavailable in this environment],Independent researchers,MCP Census,2026-07,2026-07-20T13:38:00Z,independent-report,external-context,medium,no,AI-assisted ecosystem census; directional rather than canonical.
S-056,https://glama.ai/mcp/servers,[archive-failed: automated archive submission unavailable in this environment],Glama,Glama,retrieved 2026-07-20,2026-07-20T13:38:00Z,vendor-directory,external-context,low,no,Vendor-reported ecosystem counts and registry surface.
